Simplified,Traditional,Pinyin,Level
爱,愛,ài,1
爱好,愛好,àihào,1
八,八,bā,1
吧,吧,ba,1
白,白,bái,1
白天,白天,báitiān,1
百,百,bǎi,1
班,班,bān,1
半,半,bàn,1
半年,半年,bàn nián,1
半天,半天,bàntiān,1
帮,幫,bāng,1
帮忙,幫忙,bāngmáng,1
包,包,bāo,1
包子,包子,bāozi,1
杯,杯,bēi,1
杯子,杯子,bēizi,1
北,北,běi,1
北边,北邊,běibian,1
北京,北京,Běijīng,1
本,本,běn,1
本子,本子,běnzi,1
比,比,bǐ,1
别,別,bié,1
别的,別的,biéde,1
别人,別人,biérén,1
病,病,bìng,1
病人,病人,bìngrén,1
不大,不大,bù dà,1
不对,不對,bùduì,1
不客气,不客氣,bù kèqì,1
不用,不用,bùyòng,1
不,不,bù,1
菜,菜,cài,1
茶,茶,chá,1
差,差,chà,1
常,常,cháng,1
常常,常常,chángcháng,1
唱,唱,chàng,1
唱歌,唱歌,chànggē,1
车,車,chē,1
车票,車票,chēpiào,1
车上,車上,chē shang,1
车站,車站,chēzhàn,1
吃,吃,chī,1
吃饭,吃飯,chīfàn,1
出,出,chū,1
出来,出來,chūlái,1
出去,出去,chūqù,1
穿,穿,chuān,1
床,床,chuáng,1
次,次,cì,1
从,從,cóng,1
错,錯,cuò,1
打,打,dǎ,1
打车,打車,dǎchē,1
打电话,打電話,dǎ diànhuà,1
打开,打開,dǎkāi,1
打球,打球,dǎ qiú,1
大,大,dà,1
大学,大學,dàxué,1
大学生,大學生,dàxuéshēng,1
到,到,dào,1
得到,得到,dédào,1
地,地,de,1
的,的,de,1
等,等,děng,1
地,地,dì,1
地点,地點,dìdiǎn,1
地方,地方,dìfang,1
地上,地上,dìshang,1
地图,地圖,dìtú,1
点,點,diǎn,1
电,電,diàn,1
电话,電話,diànhuà,1
电脑,電腦,diànnǎo,1
电视,電視,diànshì,1
电视机,電視機,diànshìjī,1
电影,電影,diànyǐng,1
电影院,電影院,diànyǐngyuàn,1
东,東,dōng,1
东边,東邊,dōngbian,1
东西,東西,dōngxi,1
动,動,dòng,1
动作,動作,dòngzuò,1
都,都,dōu,1
读,讀,dú,1
读书,讀書,dúshū,1
对,對,duì,1
对不起,對不起,duìbuqǐ,1
多,多,duō,1
多少,多少,duōshao,1
饿,餓,è,1
儿子,兒子,érzi,1
二,二,èr,1
饭,飯,fàn,1
饭店,飯店,fàndiàn,1
房间,房間,fángjiān,1
房子,房子,fángzi,1
放,放,fàng,1
放假,放假,fàngjià,1
放学,放學,fàngxué,1
飞,飛,fēi,1
飞机,飛機,fēijī,1
非常,非常,fēicháng,1
分,分,fēn,1
风,風,fēng,1
干,乾,gān,1
干净,乾淨,gānjìng,1
干,幹,gàn,1
干什么,幹什麼,gàn shénme,1
高,高,gāo,1
高兴,高興,gāoxìng,1
告诉,告訴,gàosu,1
歌,歌,gē,1
个,個,gè,1
给,給,gěi,1
跟,跟,gēn,1
工人,工人,gōngrén,1
工作,工作,gōngzuò,1
关,關,guān,1
关上,關上,guānshang,1
贵,貴,guì,1
国,國,guó,1
国家,國家,guójiā,1
国外,國外,guó wài,1
过,過,guò,1
还,還,hái,1
还是,還是,háishi,1
还有,還有,hái yǒu,1
孩子,孩子,háizi,1
汉语,漢語,Hànyǔ,1
汉字,漢字,Hànzì,1
好,好,hǎo,1
好吃,好吃,hǎochī,1
好看,好看,hǎokàn,1
好听,好聽,hǎotīng,1
好玩儿,好玩兒,hǎowánr,1
号,號,hào,1
喝,喝,hē,1
和,和,hé,1
很,很,hěn,1
后,後,hòu,1
后边,後邊,hòubian,1
后天,後天,hòutiān,1
花,花,huā,1
话,話,huà,1
坏,壞,huài,1
还,還,huán,1
回,回,huí,1
回答,回答,huídá,1
回到,回到,huídào,1
回家,回家,huí jiā,1
回来,回來,huílái,1
回去,回去,huíqù,1
会,會,huì,1
火车,火車,huǒchē,1
机场,機場,jīchǎng,1
机票,機票,jīpiào,1
鸡蛋,雞蛋,jīdàn,1
几,幾,jǐ,1
记,記,jì,1
记得,記得,jìde,1
记住,記住,jìzhù,1
家,家,jiā,1
家里,家裡,jiā li,1
家人,家人,jiārén,1
间,間,jiān,1
见,見,jiàn,1
见面,見面,jiànmiàn,1
教,教,jiāo,1
叫,叫,jiào,1
教学楼,教學樓,jiàoxuélóu,1
介绍,介紹,jièshào,1
今年,今年,jīnnián,1
今天,今天,jīntiān,1
进,進,jìn,1
进来,進來,jìnlái,1
进去,進去,jìnqù,1
九,九,jiǔ,1
就,就,jiù,1
觉得,覺得,juéde,1
开,開,kāi,1
开车,開車,kāichē,1
开会,開會,kāihuì,1
开玩笑,開玩笑,kāi wánxiào,1
看,看,kàn,1
看病,看病,kànbìng,1
看到,看到,kàndào,1
看见,看見,kànjiàn,1
考,考,kǎo,1
考试,考試,kǎoshì,1
渴,渴,kě,1
课,課,kè,1
课本,課本,kèběn,1
课文,課文,kèwén,1
口,口,kǒu,1
块,塊,kuài,1
快,快,kuài,1
来,來,lái,1
来到,來到,láidào,1
老,老,lǎo,1
老人,老人,lǎorén,1
老师,老師,lǎoshī,1
了,了,le,1
累,累,lèi,1
冷,冷,lěng,1
里,裡|裏,lǐ,1
里边,裡邊,lǐbian,1
两,兩,liǎng,1
六,六,liù,1
楼,樓,lóu,1
楼上,樓上,lóu shàng,1
楼下,樓下,lóu xià,1
路,路,lù,1
路口,路口,lùkǒu,1
路上,路上,lùshang,1
马路,馬路,mǎlù,1
马上,馬上,mǎshàng,1
吗,嗎,ma,1
买,買,mǎi,1
慢,慢,màn,1
忙,忙,máng,1
毛,毛,máo,1
没,沒,méi,1
没关系,沒關係,méi guānxi,1
没什么,沒什麼,méi shénme,1
没事儿,沒事兒,méishìr,1
没有,沒有,méiyǒu,1
门,門,mén,1
门口,門口,ménkǒu,1
门票,門票,ménpiào,1
米饭,米飯,mǐfàn,1
面包,麵包,miànbāo,1
面条儿,麵條兒,miàntiáor,1
